,Rain,RH (%),TD (degC),TDmax (degC),TDmin (degC),Wind_x,Wind_y,Gust_x,Gust_y,STDwd (deg),Average Percentage,Earliest Year
Dafna,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2018
Bet Dagan,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2006
Newe Yaar,0.2,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2006
Avdat,0.0,0.2,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.1,2008
Mizpe Ramon,0.0,0.9,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2012
Dorot,0.6,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,2006
Jerusalem Centre,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.2,2006
Tavor Kadoorie,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,2006
Maale Adummim,0.0,0.3,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,2006
Yavneel,1.0,0.1,0.0,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,2006
Ariel,0.5,0.3,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,2006
En Hashofet,0.8,0.3,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.2,2006
Netiv Halamed He,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,2006
Kefar Blum,0.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,2006
Paran,0.0,0.5,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.2,2006
En Karmel,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,2006
Eden Farm,0.2,1.0,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.0,0.3,2006
Bet Haarava,0.4,0.6,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.3,2006
Eshhar,0.7,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.3,2006
Nevatim,1.6,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.3,2010
Arad,0.3,0.8,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,2006
Bet Zayda,1.8,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.4,2006
Gamla,0.4,1.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.3,0.4,2006
Hafez Hayyim,0.3,2.1,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,2006
Qarne Shomeron,1.1,0.1,0.6,0.6,0.6,0.2,0.2,0.2,0.2,0.2,0.4,2006
Zomet Hanegev,0.5,1.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,2006
Jerusalem Givat Ram,0.4,0.4,0.3,0.3,0.3,0.3,0.3,1.0,1.0,0.0,0.4,2006
Har Harasha,0.9,0.2,0.2,0.2,0.2,0.6,0.6,0.5,0.5,0.4,0.4,2006
Hadera Port,0.9,2.2,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2006
Avne Etan,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.2,1.2,0.6,0.5,2006
Nizzan,0.4,2.8,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.5,2008
Besor Farm,0.6,1.2,1.1,1.1,1.1,0.1,0.1,0.1,0.1,0.0,0.6,2006
Metzoke Dragot,0.0,0.9,1.2,1.2,1.2,0.3,0.3,0.3,0.3,0.2,0.6,2006
Afula Nir Haemeq,1.8,0.2,0.1,0.1,0.1,0.9,0.9,0.9,0.9,0.0,0.6,2006
Shave Ziyyon,0.5,2.7,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.6,2009
Ezuz,0.0,1.3,1.3,1.3,1.3,0.3,0.3,0.3,0.3,0.0,0.7,2009
Tel Yosef,0.6,0.3,1.4,1.5,1.5,0.3,0.3,0.3,0.3,0.3,0.7,2012
Ashqelon Port,0.7,3.9,0.3,0.3,0.3,0.1,0.1,0.2,0.2,0.9,0.7,2006
Itamar,4.2,1.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7,2006
Zova,0.6,0.2,0.0,0.0,0.0,1.1,1.1,1.1,1.1,2.4,0.8,2006
Ashalim,0.7,0.8,0.1,0.2,0.1,0.1,0.1,0.1,0.1,5.6,0.8,2008
Tel Aviv Coast,0.0,2.5,1.5,1.5,1.5,0.2,0.2,0.2,0.2,0.1,0.8,2006
Kefar Nahum,0.0,1.7,2.2,2.1,2.2,0.0,0.0,0.0,0.0,0.0,0.8,2006
Rosh Zurim,3.4,1.1,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.2,0.8,2006
Maale Gilboa,3.3,1.4,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.3,0.8,2006
Neot Smadar,5.4,0.2,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.5,1.0,2006
Merom Golan Picman,3.0,0.3,0.0,0.0,0.0,1.4,1.4,1.4,1.4,0.7,1.0,2006
Elon,6.1,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,2006
Sede Boqer,0.0,0.3,0.3,0.3,0.3,2.0,2.0,2.0,2.0,1.8,1.1,2006
Beer Sheva University,0.0,0.1,0.1,0.1,0.1,2.3,2.3,2.3,2.3,2.3,1.2,2022
Afeq,1.4,2.9,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.9,1.2,2006
Kefar Giladi,2.4,0.4,0.1,0.1,0.1,1.8,1.8,1.8,1.8,1.7,1.2,2006
Shani,3.7,0.9,0.2,0.2,0.2,1.4,1.4,1.4,1.4,1.4,1.2,2006
Gilgal,0.9,0.1,0.5,0.5,0.5,2.2,2.2,2.2,2.2,1.6,1.3,2006
Nahshon,0.3,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.4,1.4,2006
Zemah,0.3,1.2,0.8,1.0,0.8,2.5,2.5,2.6,2.6,2.5,1.7,2006
Haifa University,0.5,5.7,3.4,3.4,3.4,0.4,0.4,0.4,0.4,0.2,1.8,2006
Hazeva,16.2,2.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.0,2006
Sedom,0.2,0.7,0.7,8.2,8.2,0.4,0.4,0.5,0.5,0.4,2.0,2006
Negba,0.0,0.8,0.5,0.5,0.5,0.4,0.4,9.4,9.4,0.4,2.2,2006
Yotvata,22.5,0.8,0.6,0.6,0.6,0.3,0.3,0.4,0.4,0.3,2.7,2006
Rosh Haniqra,9.6,10.5,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.4,3.6,2006
Zefat Har Kenaan,4.3,0.4,0.5,0.5,0.5,6.6,6.6,6.5,6.5,6.5,3.9,2006
Zikhron Yaaqov,0.3,0.8,0.2,0.2,0.2,13.8,13.8,13.8,13.8,9.1,6.6,2006
Elat,0.0,0.8,0.0,0.0,0.0,13.3,13.3,13.3,13.3,13.3,6.7,2006
Harashim,1.0,3.7,0.3,0.3,0.3,16.1,16.1,15.8,15.8,15.9,8.5,2008
Haifa Technion,6.6,2.3,0.3,0.3,0.3,33.8,33.8,34.3,34.3,33.9,18.0,2006
Deir Hanna,1.3,2.4,2.3,2.3,2.3,43.1,43.1,43.6,43.6,42.8,22.7,2006
Ammiad,1.3,1.4,1.4,1.8,1.8,49.5,49.5,49.5,49.5,49.5,25.5,2006
Ashdod Port,1.7,3.4,0.5,0.5,0.5,54.9,54.9,54.9,54.9,54.4,28.1,2006
